 SName   Trtime       RAsw    Desw    pe  T90   Flu  Flue  P1  Pe
220117B	20:05:28	191.989	-28.762	2.7	24.37	2.9	0.6	0.5	0.2
220117A	16:18:51	91.590	-28.402	1.7	49.81	16	2	1.9	0.4
220107A	14:45:31	169.761	34.139	10	NA	NA	NA	NA	NA
220101A	05:09:55	1.360	31.758	2.2	173.36	250	0	7.3	0.3
211229A	03:29:15	295.044	23.133	4	NA	NA	NA	NA	NA
211227A	23:32:06	132.144	-2.736	1.4	83.79	80	2	5.1	0.4
211225B	13:12:19	258.545	17.277	1.0	121.54	150	3	6.1	0.3
211223C	14:29:26	227.165	-26.878	1.2	15.00	24	1	3.1	0.4
211221A	20:48:40	78.906	0.902	2.6	671.67	40	3	0.5	0.1
211211A	13:09:59	212.272	27.884	1.0	51.37	1500	20	155.0	3.1
211207A	20:52:56	149.601	-24.360	2.3	3.73	1.9	0.4	0.9	0.2
211129A	09:51:06	274.565	31.781	1.5	113.01	23	2	1.5	0.2
211107B	17:27:10	65.7949	-27.5524	2	NA	NA	NA	NA	NA
211106A	04:37:31.2	343.643	-53.236	7	1.75	NA	NA	NA	NA
211025A	05:10:20	162.407	31.506	2.3	103.5	7.7	1.4	0.5	0.1
211024B	22:20:36	154.708	24.566	1.0	603.5	68	3	0.9	0.2
211024A	01:34:11.4	28.053	-6.973	6	NA	NA	NA	NA	NA
211023B	21:05:52	170.314	39.133	2.0	1.30	1.7	0.3	2.2	0.3
210930A	02:46:52	197.415	48.630	1.6	11.81	4.0	0.5	0.7	0.2
210919A	00:28:33	80.242	1.286	2.0	0.16	0.88	0.17	1.5	0.3
210912A	11:01:11	129.874	79.216	1.2	28.35	11	1	1.7	0.2
210905A	00:12:41	309.062	-44.431	3	NA	NA	NA	NA	NA
210901A	15:04:36	295.224	-76.942	1.9	46.77	31	3	2.4	0.6
210827A	09:59:24.34	174.9181	55.7858	4	NA	NA	NA	NA	NA
210824A	04:10:01	232.115	11.169	1.2	37.55	17	1	1.3	0.2
210822A	09:18:18	304.461	5.265	1.0	180.8	200	4	27.7	0.7
210820A	17:38:00	20.622	4.642	3.4	196.8	15	2	0.8	0.2
210818A	01:02:08	148.949	-87.029	1.0	73.56	160	3	11.2	0.4
210807C	22:57:08	143.540	-51.409	1.0	89.97	120	0	4.0	0.7
210807A	10:03:40	76.666	58.257	1.5	156.30	95	4	1.8	0.4
